"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2023","583.6633","593.1642","593.7433","581.3746","","-1.60%"
"04/18/2023","593.1642","591.3876","595.3475","587.8939","","0.30%"
"04/17/2023","591.3877","594.8995","595.7371","588.8184","","-0.59%"
"04/14/2023","594.8995","593.2164","597.0966","590.6030","","0.20%"
"04/13/2023","593.7161","597.0659","599.2268","593.7161","","-0.67%"
"04/12/2023","597.7346","591.5231","598.6702","590.0878","","0.96%"
"04/11/2023","592.0267","586.5349","592.5790","584.7380","","0.87%"
"04/10/2023","586.9233","588.2389","591.1854","584.9135","","-0.30%"
"04/06/2023","588.6879","590.1478","591.9416","585.9784","","-0.25%"
"04/05/2023","590.1478","588.3466","591.1072","586.0989","","0.31%"
"04/04/2023","588.3467","589.8492","593.3766","584.1259","","-0.25%"
"04/03/2023","589.8492","574.0241","594.6016","574.0241","","2.76%"
"03/31/2023","574.0241","566.6461","574.0241","563.0626","","1.30%"
"03/30/2023","566.6462","563.2200","567.4142","560.7308","","0.61%"
"03/29/2023","563.2200","565.8347","570.3499","561.9751","","-0.46%"
"03/28/2023","565.8347","562.6209","568.2638","561.3728","","0.57%"
"03/27/2023","562.6209","549.3752","563.4631","547.9226","","2.41%"
"03/24/2023","549.3752","550.1597","552.7052","538.5050","","-0.14%"
"03/23/2023","550.1598","552.4557","557.1298","547.5651","","-0.42%"
"03/22/2023","552.4558","548.2758","553.8913","544.8332","","0.76%"
"03/21/2023","548.2758","543.4516","549.7260","539.2786","","0.89%"
"03/20/2023","543.4516","541.7317","544.9362","529.7278","","0.34%"
"03/17/2023","541.6216","545.2563","553.3309","534.8636","","-0.67%"
"03/16/2023","545.2564","545.4451","548.2555","533.7280","","0.85%"
"03/15/2023","540.6648","559.7883","564.2581","533.5711","","-3.42%"
"03/14/2023","559.7883","570.8035","571.7161","558.1470","","-1.93%"
"03/13/2023","570.8035","576.0012","579.2726","557.3811","","-0.89%"
"03/10/2023","575.9237","571.0743","577.4220","565.5494","","0.89%"
"03/09/2023","570.8557","577.8889","582.7469","570.3142","","-1.18%"
"03/08/2023","577.6568","582.1973","582.8594","575.7793","","-0.75%"
"03/07/2023","582.0111","594.4322","597.4176","580.6435","","-2.06%"
"03/06/2023","594.2441","595.8505","595.8505","586.5612","","-0.27%"
"03/03/2023","595.8505","588.1800","596.2929","580.8345","","1.31%"
"03/02/2023","588.1193","587.8668","590.4054","584.9249","","0.04%"
"03/01/2023","587.8668","581.8661","588.2362","579.9482","","1.03%"
"02/28/2023","581.8661","577.5226","584.3306","576.5487","","0.75%"
"02/27/2023","577.5226","577.5786","581.0542","574.6776","","-0.01%"
"02/24/2023","577.5786","576.1845","581.2618","568.6181","","0.24%"
"02/23/2023","576.1845","573.8248","580.9509","572.5968","","0.41%"
"02/22/2023","573.8248","584.3077","585.3441","573.2908","","-1.79%"
"02/21/2023","584.3077","581.5072","588.8548","581.3965","","0.48%"
"02/17/2023","581.5073","590.6170","590.6170","575.2951","","-1.54%"
"02/16/2023","590.6170","591.8078","596.0958","588.4311","","-0.20%"
"02/15/2023","591.8079","597.6042","597.6042","586.7760","","-0.97%"
"02/14/2023","597.6042","599.6751","600.3687","590.7046","","-0.35%"
"02/13/2023","599.6751","597.8464","600.8263","591.8450","","0.35%"
"02/10/2023","597.6005","589.4439","599.1967","586.4652","","1.42%"
"02/09/2023","589.2273","592.2976","595.0677","583.5469","","-0.48%"
"02/08/2023","592.0756","588.0850","595.3997","586.6048","","0.72%"
"02/07/2023","587.8589","574.5062","589.0444","574.5062","","2.38%"
"02/06/2023","574.1863","574.5157","577.6320","564.5502","","-0.05%"
"02/03/2023","574.5009","587.8904","593.4442","573.8872","","-2.28%"
"02/02/2023","587.8904","591.0033","594.8572","585.5193","","-0.53%"
"02/01/2023","591.0033","606.0573","608.8233","588.6237","","-2.48%"
"01/31/2023","606.0573","599.8714","607.0618","592.3011","","1.03%"
"01/30/2023","599.8714","608.9030","611.5161","599.2147","","-1.48%"
"01/27/2023","608.9030","615.1898","620.7581","606.0004","","-1.02%"
"01/26/2023","615.1899","610.1197","618.1739","607.3207","","0.83%"
"01/25/2023","610.1197","612.2242","616.3032","607.8690","","-0.34%"
"01/24/2023","612.2242","618.9390","622.1381","611.0063","","-1.08%"
"01/23/2023","618.9391","616.1597","621.2122","614.2971","","0.45%"
"01/20/2023","616.1597","609.5774","617.0972","608.7420","","1.08%"
"01/19/2023","609.5774","606.6928","612.8209","599.8445","","0.48%"
"01/18/2023","606.6928","609.0608","618.8884","605.0568","","-0.39%"
"01/17/2023","609.0609","605.7853","612.0772","601.7786","","0.54%"
"01/13/2023","605.7854","599.3120","606.1608","579.1353","","1.04%"
"01/12/2023","599.5598","592.2348","602.5244","590.9216","","1.19%"
"01/11/2023","592.4936","580.9169","593.4422","578.1809","","1.95%"
"01/10/2023","581.1347","580.1277","584.2160","575.0360","","0.15%"
"01/09/2023","580.2392","573.1575","588.4875","573.1575","","1.21%"
"01/06/2023","573.2946","571.7908","580.1048","569.5279","","0.38%"
"01/05/2023","571.1293","571.2369","581.1012","569.2053","","-0.02%"
"01/04/2023","571.2370","590.6316","592.0479","570.4166","","-3.28%"
"01/03/2023","590.6316","610.1050","613.2435","590.0194","","-3.19%"
"12/30/2022","610.0719","602.8413","610.4442","600.9563","","1.20%"
"12/29/2022","602.8413","605.8974","606.2167","597.0415","","-0.50%"
"12/28/2022","605.8975","610.7120","612.8095","597.6955","","-0.79%"
"12/27/2022","610.7120","605.7943","615.6391","605.7943","","0.81%"
"12/23/2022","605.7944","594.0210","607.4656","594.0210","","1.98%"
"12/22/2022","594.0210","599.4249","606.1145","592.9655","","-0.90%"
"12/21/2022","599.4249","588.2224","600.8903","587.9804","","1.90%"
"12/20/2022","588.2224","586.5168","591.0277","581.8930","","0.29%"
"12/19/2022","586.5169","588.2113","592.9529","583.3520","","-0.29%"
"12/16/2022","588.2113","597.7974","599.4677","584.5252","","-1.60%"
"12/15/2022","597.7974","602.8703","603.7733","593.7741","","-0.84%"
"12/14/2022","602.8703","596.3861","604.5645","593.1385","","1.09%"
"12/13/2022","596.3861","582.5480","599.8810","582.5480","","2.36%"
"12/12/2022","582.6420","572.3616","585.5756","571.2585","","1.78%"
"12/09/2022","572.4410","572.4579","579.2743","568.9138","","-0.01%"
"12/08/2022","572.4971","573.1466","584.3858","569.1130","","-0.10%"
"12/07/2022","573.0529","579.2746","584.6394","571.8460","","-1.07%"
"12/06/2022","579.2280","593.7613","596.6808","575.9507","","-2.45%"
"12/05/2022","593.7613","611.5227","620.1701","593.3079","","-2.90%"
"12/02/2022","611.5227","620.9182","622.4516","610.4967","","-1.51%"
"12/01/2022","620.9182","621.1091","632.3582","619.1290","","-0.03%"
"11/30/2022","621.1091","608.2934","622.9392","608.2934","","2.11%"
"11/29/2022","608.2935","603.4104","615.4158","600.1593","","0.81%"
"11/28/2022","603.4145","604.9069","607.1401","591.0660","","-0.25%"
"11/25/2022","604.9069","614.8787","621.7198","604.5778","","-1.62%"
"11/23/2022","614.8787","623.9766","630.3047","609.9559","","-1.46%"
"11/22/2022","623.9766","617.8380","629.6044","617.3931","","0.99%"
"11/21/2022","617.8380","618.8522","619.7647","600.1862","","-0.16%"
"11/18/2022","618.8522","623.9436","628.1023","609.0100","","-0.82%"
"11/17/2022","623.9436","638.4758","638.7234","622.3452","","-2.28%"
"11/16/2022","638.4758","643.4693","645.7672","632.1455","","-0.78%"
"11/15/2022","643.4693","637.6193","650.9348","631.8341","","0.92%"
"11/14/2022","637.6193","646.7267","652.2765","636.2822","","-1.41%"
"11/11/2022","646.7267","636.9370","653.4893","636.2391","","1.47%"
"11/10/2022","637.3630","633.5824","640.0254","627.0521","","0.51%"
"11/09/2022","634.1138","649.0656","650.0894","633.5322","","-2.40%"
"11/08/2022","649.7100","661.6424","661.9092","648.8392","","-1.93%"
"11/07/2022","662.4973","664.9290","671.0861","658.5765","","-0.52%"
"11/04/2022","665.9472","644.8398","666.6652","643.2270","","3.27%"
"11/03/2022","644.8398","649.2739","649.2739","638.3287","","-0.68%"
"11/02/2022","649.2739","641.5257","650.1007","637.3105","","1.21%"
"11/01/2022","641.5257","636.8439","646.8859","633.4350","","0.74%"
"10/31/2022","636.8439","636.5313","643.7772","630.8940","","0.05%"
"10/28/2022","636.5313","643.8336","643.8336","631.7875","","-1.13%"
"10/27/2022","643.8336","642.0352","647.2893","640.3098","","0.28%"
"10/26/2022","642.0352","631.0202","643.5595","626.7931","","1.75%"
"10/25/2022","631.0202","626.2941","632.0713","618.9750","","0.75%"
"10/24/2022","626.2942","625.5777","632.4834","616.6608","","0.11%"
"10/21/2022","625.5777","624.6046","626.7292","616.0808","","0.16%"
"10/20/2022","624.6046","624.2214","634.5697","622.5616","","0.06%"
"10/19/2022","624.2214","620.7758","625.9840","616.4682","","0.56%"
"10/18/2022","620.7758","630.9163","633.9591","617.0237","","-1.61%"
"10/17/2022","630.9163","631.8883","638.1962","627.7198","","-0.15%"
"10/14/2022","631.8883","647.9020","651.1173","630.5833","","-2.47%"
"10/13/2022","647.9020","637.9317","649.1204","628.6953","","1.25%"
"10/12/2022","639.9271","645.0374","650.0604","636.9311","","-1.08%"
"10/11/2022","646.8892","656.4909","656.8817","641.9465","","-1.73%"
"10/10/2022","658.2612","664.7825","671.4729","656.1488","","-1.27%"
"10/07/2022","666.7258","652.7091","669.1390","650.0426","","1.90%"
"10/06/2022","654.3016","650.6051","656.1929","645.9517","","0.57%"
"10/05/2022","650.6051","642.0300","653.8068","637.7476","","1.34%"
"10/04/2022","642.0300","623.2320","643.2142","622.7616","","3.02%"
"10/03/2022","623.2320","607.7575","625.3993","607.7575","","2.55%"
"09/30/2022","607.7575","615.7930","621.5394","605.3020","","-1.30%"
"09/29/2022","615.7931","618.6288","624.7694","611.1465","","-0.46%"
"09/28/2022","618.6288","601.0052","619.0254","591.8181","","2.93%"
"09/27/2022","601.0052","593.9209","607.2493","593.6011","","1.19%"
"09/26/2022","593.9209","606.3149","611.2042","592.0854","","-2.04%"
"09/23/2022","606.3150","631.2900","633.1270","603.9910","","-3.96%"
"09/22/2022","631.2900","629.9676","642.9102","627.1140","","0.21%"
